Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1961","1961","ha","2744400","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1962","1962","ha","2756670","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1963","1963","ha","2645400","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1964","1964","ha","2970500","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1965","1965","ha","3062300","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1966","1966","ha","3274500","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1967","1967","ha","3450500","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1968","1968","ha","3377700","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1969","1969","ha","3556000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1970","1970","ha","4017330","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1971","1971","ha","4066000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1972","1972","ha","3147200","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1973","1973","ha","3565400","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1974","1974","ha","3486000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1975","1975","ha","3070000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1976","1976","ha","2765900","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1977","1977","ha","2532000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1978","1978","ha","2660000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1979","1979","ha","2800000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1980","1980","ha","2490000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1981","1981","ha","3394000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1982","1982","ha","3170000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1983","1983","ha","2970000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1984","1984","ha","3024800","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1985","1985","ha","3340000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1986","1986","ha","3231000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","56","Maize","1987","1987","ha","2900000","","Official data"
